age,income,married,children,purchase_amount,gender_Male,education_High School,education_Master,education_PhD,occupation_Businessman,occupation_Doctor,occupation_Engineer,occupation_HR,occupation_Housewife,occupation_Lawyer,occupation_Retired,occupation_Salesman,occupation_Scientist,occupation_Unemployed,most bought item_bat,most bought item_bed,most bought item_biscuits,most bought item_carpet,most bought item_chair,most bought item_chips,most bought item_cream,most bought item_curtains,most bought item_dictionary,most bought item_encyclopedia,most bought item_gloves,most bought item_laptop,most bought item_lipstick,most bought item_maggi,most bought item_mobile,most bought item_monitor,most bought item_novel,most bought item_pants,most bought item_perfume,most bought item_shirt,most bought item_shoes,most bought item_sofa,most bought item_table,beauty,books,clothing,electronics,food,furniture,home,sports
0.717391304347826,0.2612382758019013,1,0.3333333333333333,0.7382585500615755,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0.6956521739130435,0.5104723632627475,1,0.6666666666666666,0.4940003036409006,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
0.9347826086956522,0.6669334628802698,0,1.0,0.341360849021671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0
0.10869565217391304,0.1072245866050785,0,0.0,0.7184962170042427,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1
0.7391304347826086,0.6127500177235262,0,0.3333333333333333,0.5387345420043206,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
0.5,0.6090047668912233,1,0.3333333333333333,0.12710718708960284,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1
0.6956521739130435,0.40593566680030624,0,0.0,0.47195319729125296,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0.4782608695652174,0.4202423066874745,1,0.0,0.8014749741383604,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
0.0,0.5237364713613823,1,0.6666666666666666,0.46998633710309257,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1
0.8913043478260869,0.5198007598378726,0,1.0,0.31630643998724606,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1
0.7391304347826086,0.7246609375554413,0,0.0,0.34671344274054827,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.5,0.7759938601769473,1,1.0,0.5868740119012111,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
0.2826086956521739,0.4508276257816134,0,0.0,0.665563342193296,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0.8695652173913043,0.7084910330227229,0,0.6666666666666666,0.36006591778577374,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1
0.782608695652174,0.5440184070916634,1,0.0,0.5135046058400675,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.3695652173913043,0.31987818606959284,1,0.0,0.5591446394727292,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
0.1956521739130435,0.4242051911820562,1,1.0,0.4349055149793898,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
0.3695652173913043,0.313914279744487,1,0.0,0.4610304987088081,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
